Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals
Analog_1/DataBuf_1/Primitives,46,14,0,0,0,0,0,0
Analog_1/DataBuf_1/RAM_1/Primitives,0,0,72,72,0,2,0,0
Analog_1/DataBuf_1/RAM_2/Primitives,0,0,72,72,0,2,0,0
Analog_1/Primitives,4,0,0,0,0,0,0,0
Analog_1/Ser2Par_1/Primitives,115,160,0,0,0,0,0,0
Analog_1/StateMach_1/Primitives,85,44,0,0,0,0,0,0
CPUCnf_1/Primitives,7,9,0,0,0,0,0,0
CPULED_1/Primitives,3,2,0,0,0,0,0,0
ClkCtrl_1/Primitives,9,20,0,0,0,0,0,1
ClkCtrl_1/clk_1/Clock_Gen_0/Primitives,1,0,0,0,1,0,1,3
CtrlIO_1/Primitives,57,53,0,0,0,0,0,0
CtrlOut_1/Primitives,38,46,0,0,0,0,0,0
CtrlOut_2/Primitives,38,46,0,0,0,0,0,0
DIO8_1/Primitives,249,216,0,0,0,0,0,0
Decode_1/Primitives,207,0,0,0,0,0,0,0
DiscID_1/DiscCtrlID_1/Primitives,29,31,0,0,0,0,0,0
DiscID_1/DiscExpID_1/Primitives,70,113,0,0,0,0,0,0
DiscID_1/Primitives,83,0,0,0,0,0,0,0
ExpModLED_1/Primitives,159,65,0,0,0,0,0,0
ExpSigRoute_1/Primitives,28,0,0,0,0,0,0,0
ExpSigRoute_2/Primitives,26,0,0,0,0,0,0,0
ExpSigRoute_3/Primitives,27,0,0,0,0,0,0,0
ExpSigRoute_4/Primitives,28,0,0,0,0,0,0,0
LatCnt_1/Primitives,34,32,0,0,0,0,0,0
MDTSSIRoute_1/Primitives,1,0,0,0,0,0,0,0
MDTTop_1/Primitives,478,101,0,0,0,0,0,0
MDTTop_2/Primitives,121,101,0,0,0,0,0,0
Primitives/Primitives,3,0,0,0,127,0,0,2
Quad_1/QuadXface_1/Primitives,137,137,0,0,0,0,0,0
Quad_1/QuadXface_2/Primitives,138,137,0,0,0,0,0,0
Quad_1/QuadXface_3/Primitives,135,137,0,0,0,0,0,0
Quad_1/QuadXface_4/Primitives,137,137,0,0,0,0,0,0
Quad_1/QuadXface_5/Primitives,162,147,0,0,0,0,0,0
Quad_1/QuadXface_6/Primitives,161,147,0,0,0,0,0,0
RtdExpIDLED_1/Primitives,3,0,0,0,0,0,0,0
SSITop_1/Primitives,86,144,0,0,0,0,0,0
SSITop_2/Primitives,94,144,0,0,0,0,0,0
SerMemInt_1/Primitives,138,74,0,0,0,0,0,0
TickSync_1/Primitives,2,4,0,0,0,0,0,0
WDT_1/Primitives,78,121,0,0,0,0,0,0
