pin,slack
MDTTop_2/LeadingCountDecode_1_0_.m8:A,6944
MDTTop_2/LeadingCountDecode_1_0_.m8:B,6826
MDTTop_2/LeadingCountDecode_1_0_.m8:C,5786
MDTTop_2/LeadingCountDecode_1_0_.m8:D,5668
MDTTop_2/LeadingCountDecode_1_0_.m8:Y,5668
CtrlIO_1/StateMachine.M_IO_LATCH_2_f0:A,14325
CtrlIO_1/StateMachine.M_IO_LATCH_2_f0:B,13077
CtrlIO_1/StateMachine.M_IO_LATCH_2_f0:C,14168
CtrlIO_1/StateMachine.M_IO_LATCH_2_f0:D,13984
CtrlIO_1/StateMachine.M_IO_LATCH_2_f0:Y,13077
DIO8_1/d8DataOut_m2_2[4]:A,13565
DIO8_1/d8DataOut_m2_2[4]:B,12378
DIO8_1/d8DataOut_m2_2[4]:C,
DIO8_1/d8DataOut_m2_2[4]:D,
DIO8_1/d8DataOut_m2_2[4]:Y,12378
DATA_iobuf[28]/U0/U_IOPAD:D,2423
DATA_iobuf[28]/U0/U_IOPAD:E,4878
DATA_iobuf[28]/U0/U_IOPAD:PAD,2423
DATA_iobuf[28]/U0/U_IOPAD:Y,
Analog_1/DataBuf_1/RAM_2/ram_ram_0_0/FF_1:IPCLKn,
CPUCnf_1/int_M_DRV_EN_RNIHIU6:A,
CPUCnf_1/int_M_DRV_EN_RNIHIU6:Y,
FPGA_Test_obuf/U0/U_IOOUTFF:A,
FPGA_Test_obuf/U0/U_IOOUTFF:Y,
RESET_ibuf/U0/U_IOINFF:A,
RESET_ibuf/U0/U_IOINFF:Y,
DIO8_1/d8DataOut_m5_1_0_wmux[7]:A,12756
DIO8_1/d8DataOut_m5_1_0_wmux[7]:B,12656
DIO8_1/d8DataOut_m5_1_0_wmux[7]:C,
DIO8_1/d8DataOut_m5_1_0_wmux[7]:D,
DIO8_1/d8DataOut_m5_1_0_wmux[7]:FCO,
DIO8_1/d8DataOut_m5_1_0_wmux[7]:Y,12656
Analog_1/DataBuf_1/ReadPointer[2]:CLK,14264
Analog_1/DataBuf_1/ReadPointer[2]:D,-12329
Analog_1/DataBuf_1/ReadPointer[2]:Q,14264
CtrlIO_1/Axis0EnFlt1:ALn,-4495
CtrlIO_1/Axis0EnFlt1:CLK,15540
CtrlIO_1/Axis0EnFlt1:D,
CtrlIO_1/Axis0EnFlt1:EN,
CtrlIO_1/Axis0EnFlt1:Q,15540
SSITop_2/CycleCounter_cry[1]:B,12785
SSITop_2/CycleCounter_cry[1]:C,13972
SSITop_2/CycleCounter_cry[1]:FCI,12768
SSITop_2/CycleCounter_cry[1]:FCO,12768
SSITop_2/CycleCounter_cry[1]:S,12812
SerMemInt_1/un1_discoverIdDataOut_0_iv_8[21]:A,5800
SerMemInt_1/un1_discoverIdDataOut_0_iv_8[21]:B,
SerMemInt_1/un1_discoverIdDataOut_0_iv_8[21]:C,7119
SerMemInt_1/un1_discoverIdDataOut_0_iv_8[21]:D,6907
SerMemInt_1/un1_discoverIdDataOut_0_iv_8[21]:Y,5800
ExpModLED_1/intExpLEDSelect_ns_0_RNO[1]:A,-12045
ExpModLED_1/intExpLEDSelect_ns_0_RNO[1]:B,
ExpModLED_1/intExpLEDSelect_ns_0_RNO[1]:C,-9783
ExpModLED_1/intExpLEDSelect_ns_0_RNO[1]:D,-11150
ExpModLED_1/intExpLEDSelect_ns_0_RNO[1]:Y,-12045
Analog_1/DataBuf_1/S2P_Addr_Z[1]:CLK,10532
Analog_1/DataBuf_1/S2P_Addr_Z[1]:D,11138
Analog_1/DataBuf_1/S2P_Addr_Z[1]:Q,10532
MDTTop_2/RetPulseDelayEnable_1_sqmuxa_i_o3:A,3508
MDTTop_2/RetPulseDelayEnable_1_sqmuxa_i_o3:B,4589
MDTTop_2/RetPulseDelayEnable_1_sqmuxa_i_o3:Y,3508
MDTTop_1/un1_discoverIdDataOut_0_iv_4[16]:A,13003
MDTTop_1/un1_discoverIdDataOut_0_iv_4[16]:B,
MDTTop_1/un1_discoverIdDataOut_0_iv_4[16]:C,
MDTTop_1/un1_discoverIdDataOut_0_iv_4[16]:D,8151
MDTTop_1/un1_discoverIdDataOut_0_iv_4[16]:Y,8151
Analog_1/StateMach_1/un1_ExpA_CS_L_0_sqmuxa_i_a2_0_a2:A,10687
Analog_1/StateMach_1/un1_ExpA_CS_L_0_sqmuxa_i_a2_0_a2:B,11925
Analog_1/StateMach_1/un1_ExpA_CS_L_0_sqmuxa_i_a2_0_a2:Y,10687
MDTTop_1/un1_discoverIdDataOut_0_iv_10[4]:A,13805
MDTTop_1/un1_discoverIdDataOut_0_iv_10[4]:B,6581
MDTTop_1/un1_discoverIdDataOut_0_iv_10[4]:C,4614
MDTTop_1/un1_discoverIdDataOut_0_iv_10[4]:D,
MDTTop_1/un1_discoverIdDataOut_0_iv_10[4]:Y,4614
DIO8_1/d8DataOut_m2_2[8]:A,12233
DIO8_1/d8DataOut_m2_2[8]:B,11046
DIO8_1/d8DataOut_m2_2[8]:C,
DIO8_1/d8DataOut_m2_2[8]:D,
DIO8_1/d8DataOut_m2_2[8]:Y,11046
CtrlIO_1/EnableDelay:ALn,13503
CtrlIO_1/EnableDelay:CLK,14279
CtrlIO_1/EnableDelay:EN,9988
CtrlIO_1/EnableDelay:Q,14279
Decode_1/un1_exp1quadledstatuswrite_0_a2:A,
Decode_1/un1_exp1quadledstatuswrite_0_a2:B,
Decode_1/un1_exp1quadledstatuswrite_0_a2:C,
Decode_1/un1_exp1quadledstatuswrite_0_a2:D,-12353
Decode_1/un1_exp1quadledstatuswrite_0_a2:Y,-12353
MDTTop_2/TransducerSelect[3]:CLK,
MDTTop_2/TransducerSelect[3]:D,
MDTTop_2/TransducerSelect[3]:EN,-7344
MDTTop_2/TransducerSelect[3]:Q,
MDTTop_2/TransducerSelect[3]:SLn,-3994
Analog_1/DataBuf_1/RAM_1/ram_ram_0_1/FF_0:CLK,
Analog_1/DataBuf_1/RAM_1/ram_ram_0_1/FF_0:IPCLKn,
DIO8_1/d8DataOut_m5_0[8]:A,12555
DIO8_1/d8DataOut_m5_0[8]:B,12515
DIO8_1/d8DataOut_m5_0[8]:Y,12515
DIO8_1/IntDout_3_1_0_wmux_0[8]:A,11396
DIO8_1/IntDout_3_1_0_wmux_0[8]:B,12443
DIO8_1/IntDout_3_1_0_wmux_0[8]:C,14245
DIO8_1/IntDout_3_1_0_wmux_0[8]:D,13985
DIO8_1/IntDout_3_1_0_wmux_0[8]:FCI,
DIO8_1/IntDout_3_1_0_wmux_0[8]:Y,11396
CtrlIO_1/controlIoDataOut_1[28]:A,15920
CtrlIO_1/controlIoDataOut_1[28]:B,15973
CtrlIO_1/controlIoDataOut_1[28]:C,
CtrlIO_1/controlIoDataOut_1[28]:D,
CtrlIO_1/controlIoDataOut_1[28]:Y,15920
Quad_1/QuadXface_6/Latch0Reg[4]:CLK,
Quad_1/QuadXface_6/Latch0Reg[4]:D,15287
Quad_1/QuadXface_6/Latch0Reg[4]:EN,13858
Quad_1/QuadXface_6/Latch0Reg[4]:Q,
DATA_iobuf[3]/U0/U_IOENFF:A,4878
DATA_iobuf[3]/U0/U_IOENFF:Y,4878
Analog_1/StateMach_1/ConversionCounterEN_1_sqmuxa_0_a3:A,13159
Analog_1/StateMach_1/ConversionCounterEN_1_sqmuxa_0_a3:B,13061
Analog_1/StateMach_1/ConversionCounterEN_1_sqmuxa_0_a3:Y,13061
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[3]:CLK,11961
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[3]:D,15326
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[3]:EN,7490
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[3]:Q,11961
Analog_1/Ser2Par_1/S2P_M0Ch0_Data[3]:SLn,9714
SSITop_2/DelayCntEn_1:A,14224
SSITop_2/DelayCntEn_1:B,11094
SSITop_2/DelayCntEn_1:C,14281
SSITop_2/DelayCntEn_1:D,14070
SSITop_2/DelayCntEn_1:Y,11094
SSITop_2/ShiftCounter[0]:CLK,12936
SSITop_2/ShiftCounter[0]:D,13671
SSITop_2/ShiftCounter[0]:EN,12871
SSITop_2/ShiftCounter[0]:Q,12936
Quad_1/QuadXface_2/QuadDataOut_1_1[15]:A,14947
Quad_1/QuadXface_2/QuadDataOut_1_1[15]:B,13755
Quad_1/QuadXface_2/QuadDataOut_1_1[15]:C,12124
Quad_1/QuadXface_2/QuadDataOut_1_1[15]:Y,12124
ExpSigRoute_3/ExpQ1_A:A,9523
ExpSigRoute_3/ExpQ1_A:B,
ExpSigRoute_3/ExpQ1_A:Y,9523
SSITop_2/SSIDataLatch[5]:CLK,
SSITop_2/SSIDataLatch[5]:D,15326
SSITop_2/SSIDataLatch[5]:EN,12103
SSITop_2/SSIDataLatch[5]:Q,
Quad_1/QuadXface_3/QL0[1]:CLK,14263
Quad_1/QuadXface_3/QL0[1]:D,15334
Quad_1/QuadXface_3/QL0[1]:Q,14263
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:A,13876
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:B,10688
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:C,13676
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:FCI,10706
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:FCO,10688
Quad_1/QuadXface_5/QuadCount_RNILBK51[0]:S,10936
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_8:A,11055
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_8:B,11005
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_8:C,10908
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_8:D,10790
Quad_1/QuadXface_2/intAccumOverflow_1_0_a3_0_8:Y,10790
Quad_1/QuadXface_1/QuadDataOut_1_25:A,14042
Quad_1/QuadXface_1/QuadDataOut_1_25:B,13815
Quad_1/QuadXface_1/QuadDataOut_1_25:C,
Quad_1/QuadXface_1/QuadDataOut_1_25:Y,13815
ExpModLED_1/ShiftRegister3_3_i_m2[3]:A,14333
ExpModLED_1/ShiftRegister3_3_i_m2[3]:B,12913
ExpModLED_1/ShiftRegister3_3_i_m2[3]:C,9207
ExpModLED_1/ShiftRegister3_3_i_m2[3]:Y,9207
Decode_1/un3_fpgaprogrammedread_0_a2:A,5842
Decode_1/un3_fpgaprogrammedread_0_a2:B,4534
Decode_1/un3_fpgaprogrammedread_0_a2:C,5660
Decode_1/un3_fpgaprogrammedread_0_a2:D,3054
Decode_1/un3_fpgaprogrammedread_0_a2:Y,3054
SerMemInt_1/SerialDataOutputMux_1[2]:A,5161
SerMemInt_1/SerialDataOutputMux_1[2]:B,13085
SerMemInt_1/SerialDataOutputMux_1[2]:C,11817
SerMemInt_1/SerialDataOutputMux_1[2]:D,11637
SerMemInt_1/SerialDataOutputMux_1[2]:Y,5161
SSITop_2/ShiftCounter[4]:CLK,12848
SSITop_2/ShiftCounter[4]:D,12810
SSITop_2/ShiftCounter[4]:EN,12871
SSITop_2/ShiftCounter[4]:Q,12848
Quad_1/QuadXface_1/Latch0Reg[1]:CLK,
Quad_1/QuadXface_1/Latch0Reg[1]:D,15287
Quad_1/QuadXface_1/Latch0Reg[1]:EN,13858
Quad_1/QuadXface_1/Latch0Reg[1]:Q,
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[15]:CLK,12065
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[15]:D,15326
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[15]:EN,7490
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[15]:Q,12065
Analog_1/Ser2Par_1/S2P_M1Ch1_Data[15]:SLn,9714
Analog_1/Ser2Par_1/S2P_Data_7[13]:A,13124
Analog_1/Ser2Par_1/S2P_Data_7[13]:B,10684
Analog_1/Ser2Par_1/S2P_Data_7[13]:C,10618
Analog_1/Ser2Par_1/S2P_Data_7[13]:Y,10618
MDTTop_2/un11_risingacountenable:A,4757
MDTTop_2/un11_risingacountenable:B,3629
MDTTop_2/un11_risingacountenable:C,5645
MDTTop_2/un11_risingacountenable:D,5478
MDTTop_2/un11_risingacountenable:Y,3629
SSITop_1/SSIDataLatch_Z[24]:CLK,
SSITop_1/SSIDataLatch_Z[24]:D,15326
SSITop_1/SSIDataLatch_Z[24]:EN,12103
SSITop_1/SSIDataLatch_Z[24]:Q,
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[6]:A,13546
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[6]:B,13546
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[6]:C,
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[6]:D,
Quad_1/QuadXface_3/QuadDataOut_1_m2_2[6]:Y,13546
Quad_1/QuadXface_3/Latch0Reg[1]:CLK,
Quad_1/QuadXface_3/Latch0Reg[1]:D,15287
Quad_1/QuadXface_3/Latch0Reg[1]:EN,13858
Quad_1/QuadXface_3/Latch0Reg[1]:Q,
DATA_iobuf[26]/U0/U_IOINFF:A,
DATA_iobuf[26]/U0/U_IOINFF:Y,
SSITop_1/SSIDataLatch_Z[9]:CLK,
SSITop_1/SSIDataLatch_Z[9]:D,15326
SSITop_1/SSIDataLatch_Z[9]:EN,12103
SSITop_1/SSIDataLatch_Z[9]:Q,
Quad_1/QuadXface_5/Latch0Reg[5]:CLK,
Quad_1/QuadXface_5/Latch0Reg[5]:D,15287
Quad_1/QuadXface_5/Latch0Reg[5]:EN,13858
Quad_1/QuadXface_5/Latch0Reg[5]:Q,
Quad_1/QuadXface_1/Latch1Reg[5]:CLK,
Quad_1/QuadXface_1/Latch1Reg[5]:D,15287
Quad_1/QuadXface_1/Latch1Reg[5]:EN,13858
Quad_1/QuadXface_1/Latch1Reg[5]:Q,
ExpModLED_1/ShiftRegister0[7]:CLK,
ExpModLED_1/ShiftRegister0[7]:D,15334
ExpModLED_1/ShiftRegister0[7]:EN,10421
ExpModLED_1/ShiftRegister0[7]:Q,
ExpModLED_1/ShiftRegister0[7]:SLn,11310
Quad_1/QuadXface_1/LatchedDec_1_0_x2:A,-3482
Quad_1/QuadXface_1/LatchedDec_1_0_x2:B,-3565
Quad_1/QuadXface_1/LatchedDec_1_0_x2:Y,-3565
MDTTop_1/un1_discoverIdDataOut_0_iv_6[18]:A,8194
MDTTop_1/un1_discoverIdDataOut_0_iv_6[18]:B,10739
MDTTop_1/un1_discoverIdDataOut_0_iv_6[18]:C,15013
MDTTop_1/un1_discoverIdDataOut_0_iv_6[18]:D,13664
MDTTop_1/un1_discoverIdDataOut_0_iv_6[18]:Y,8194
SerMemInt_1/SerialDataOutput[3]:CLK,13183
SerMemInt_1/SerialDataOutput[3]:D,5161
SerMemInt_1/SerialDataOutput[3]:EN,10316
SerMemInt_1/SerialDataOutput[3]:Q,13183
SSITop_2/Serial2ParallelData[7]:CLK,15326
SSITop_2/Serial2ParallelData[7]:D,15326
SSITop_2/Serial2ParallelData[7]:EN,10706
SSITop_2/Serial2ParallelData[7]:Q,15326
SSITop_2/Serial2ParallelData[7]:SLn,11847
Quad_1/QuadXface_1/QuadDataOut_1_m2_2[2]:A,11463
Quad_1/QuadXface_1/QuadDataOut_1_m2_2[2]:B,11404
Quad_1/QuadXface_1/QuadDataOut_1_m2_2[2]:C,
Quad_1/QuadXface_1/QuadDataOut_1_m2_2[2]:D,
Quad_1/QuadXface_1/QuadDataOut_1_m2_2[2]:Y,11404
Quad_1/QuadXface_1/Latch1Reg[14]:CLK,
Quad_1/QuadXface_1/Latch1Reg[14]:D,15287
Quad_1/QuadXface_1/Latch1Reg[14]:EN,13858
Quad_1/QuadXface_1/Latch1Reg[14]:Q,
MDTTop_2/RetPulseDelayEnable_RNO_1:A,-5884
MDTTop_2/RetPulseDelayEnable_RNO_1:B,4759
