
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Top, 2382, 2683, 546, 0, 0, 0, 4, 6, 128
.	. Analog, 218, 175, 76, 0, 0, 0, 4, 0, 0
.	.	. DataBuffer, 14, 46, 0, 0, 0, 0, 4, 0, 0
.	.	.	. RAM128x16, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	.	. RAM128x16_0, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. Serial2Parallel, 160, 52, 64, 0, 0, 0, 0, 0, 0
.	.	. StateMachine, 44, 73, 12, 0, 0, 0, 0, 0, 0
.	. CPUConfig, 9, 7, 0, 0, 0, 0, 0, 0, 0
.	. CPULED, 2, 3, 0, 0, 0, 0, 0, 0, 0
.	. ClockControl, 20, 14, 0, 0, 0, 0, 0, 4, 1
.	.	. Clock_Gen, 0, 4, 0, 0, 0, 0, 0, 3, 1
.	.	.	. Clock_Gen_Clock_Gen_0_FCCC, 0, 4, 0, 0, 0, 0, 0, 3, 1
.	. ControlIO, 53, 57, 0, 0, 0, 0, 0, 0, 0
.	. ControlOutput, 46, 38, 0, 0, 0, 0, 0, 0, 0
.	. ControlOutput_1, 46, 38, 0, 0, 0, 0, 0, 0, 0
.	. DIO8, 216, 169, 80, 0, 0, 0, 0, 0, 0
.	. Decode, 0, 207, 0, 0, 0, 0, 0, 0, 0
.	. DiscoverID, 144, 175, 7, 0, 0, 0, 0, 0, 0
.	.	. DiscoverControlID, 31, 29, 0, 0, 0, 0, 0, 0, 0
.	.	. DiscoverExpansionID, 113, 63, 7, 0, 0, 0, 0, 0, 0
.	. ExpModuleLED, 65, 160, 0, 0, 0, 0, 0, 0, 0
.	. ExpSigRoute, 0, 28, 0, 0, 0, 0, 0, 0, 0
.	. ExpSigRoute_0, 0, 26, 0, 0, 0, 0, 0, 0, 0
.	. ExpSigRoute_1, 0, 27, 0, 0, 0, 0, 0, 0, 0
.	. ExpSigRoute_2, 0, 28, 0, 0, 0, 0, 0, 0, 0
.	. LatencyCounter, 32, 2, 32, 0, 0, 0, 0, 0, 0
.	. MDTSSIRoute, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	. MDTTopSimp, 101, 429, 50, 0, 0, 0, 0, 0, 0
.	. MDTTopSimp_1, 101, 72, 50, 0, 0, 0, 0, 0, 0
.	. Quad, 842, 718, 152, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_0, 147, 132, 29, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_1, 147, 135, 27, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_8, 137, 114, 23, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_8_0, 137, 113, 25, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_8_1, 137, 112, 23, 0, 0, 0, 0, 0, 0
.	.	. QuadXface_8_2, 137, 112, 25, 0, 0, 0, 0, 0, 0
.	. RtdExpIDLED, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	. SSITop, 144, 48, 38, 0, 0, 0, 0, 0, 0
.	. SSITop_1, 144, 56, 38, 0, 0, 0, 0, 0, 0
.	. SerialMemoryInterface, 74, 139, 0, 0, 0, 0, 0, 0, 0
.	. TickSync, 4, 3, 0, 0, 0, 0, 0, 0, 0
.	. WDT, 121, 56, 23, 0, 0, 0, 0, 0, 0
